ONS code,New constituency name,Total population,Number of households,Aged 15 years and under,Aged 16 to 24 years,Aged 25 to 34 years,Aged 35 to 49 years,Aged 50 to 64 years,Aged 65 years and over,United Kingdom,Ireland,Other Europe,Africa,Middle East and Asia,Americas and the Caribbean,Australasia and others,White British,Other White,Asian / Asian British,Black / Black British,Mixed / Multiple ethnic groups,Other ethnic groups,No religion,Christian,Buddhist,Hindu,Jewish,Muslim,Sikh,Other religion,Not answered,Owned outright,Owned with a mortgage or loan,Private rented,Social rented,Other tenure,Cluster
E14001090,Bicester and Woodstock,101160.0,41359.0,0.18516211941478847,0.08434163701067615,0.13582443653618032,0.20858046658758403,0.20193752471332543,0.18415381573744563,0.8361209964412811,0.0055852115460656385,0.07451561882166864,0.01916765519968367,0.038177145116646896,0.021915776986951366,0.004517595887702649,0.8023823645709767,0.09134045077105575,0.04877421905891657,0.015450771055753262,0.029497825227362592,0.012554369315935152,0.3905018930968692,0.507745385885307,0.005624919679310379,0.0088575185108297,0.0013246735272892632,0.01634093537768024,0.00279763140464822,0.005239380369129175,0.0615676621489368,0.34947653473246454,0.33035131410333907,0.1863439638289127,0.11305882637394521,0.020769360961338523,5
E14001091,Birkenhead,105492.0,47938.0,0.1931331285784704,0.09899328859060402,0.12972547681340765,0.18720850870208167,0.20696356121791226,0.18397603609752397,0.9296060364766997,0.005270541842035415,0.027698782846092593,0.006796723922193152,0.02474121260379934,0.004398437796230994,0.0014882645129488492,0.8995658438554582,0.0358131422287946,0.03319683009138134,0.006133166496037614,0.016636332612899558,0.008654684715428658,0.3853431033338705,0.5289829656944063,0.004019224024342847,0.004531106329329908,0.0006730304380385429,0.018304532054259526,0.0015925227266264112,0.0042656858748921726,0.05228782952423384,0.28094622220367976,0.2545162501564521,0.22994284283866662,0.22514497893111937,0.00944970587008219,0
E14001092,Birmingham Edgbaston,108344.0,43077.0,0.19484055563247035,0.1491070192440814,0.151266786653745,0.1984493977571646,0.16010891134800867,0.14622732936452998,0.7111884368308351,0.00931292918851067,0.07025769770361072,0.05612678136306579,0.12773203869157498,0.023933028132614637,0.0014490880897880824,0.46746474193310195,0.07479878904230967,0.23022963892785941,0.11408107509414457,0.05846193605552684,0.05496381894705752,0.285943715791514,0.3874085081638869,0.005270298957939137,0.033190884505690264,0.003839657384418006,0.16244704318691564,0.05054318230065625,0.005990234717517514,0.0653664749914623,0.26046382060032036,0.23597279290572695,0.2469531304408385,0.24128885484133064,0.015321401211783551,7
E14001093,Birmingham Erdington,121722.0,49395.0,0.21952481884950953,0.10995547230574589,0.14782044330523653,0.19323540526774124,0.18854438803174448,0.14091947224002235,0.7863380570959129,0.012421441774491683,0.0723516122407065,0.03753542821934689,0.06662559047032245,0.0240788662969809,0.0006490039022386527,0.5483067974564992,0.0824583887875651,0.1528811554197269,0.13315587979165638,0.05848572977769015,0.024712048766862196,0.3056087281570148,0.4582364587868979,0.0037627032311597836,0.011353833767386072,0.0007065337944972519,0.14217760287871445,0.011386695804339432,0.004682840265853879,0.06208460331413643,0.25184735297094846,0.2653507440024294,0.21783581334143132,0.25156392347403583,0.013402166211154976,7
E14001094,Birmingham Hall Green and Moseley,117298.0,38874.0,0.23759995907858616,0.13113608075158997,0.14723183685996352,0.20828147112482737,0.15446128663745332,0.12128936554757967,0.6793210455421235,0.010554314651571212,0.04408429811249979,0.04100666678033726,0.21223720779552935,0.011696704121127385,0.0010997629968115398,0.24584391890739826,0.05014578253678664,0.5423792392027145,0.05699159405957476,0.03846612900475711,0.06617333628876877,0.14587631502668416,0.18925301369162303,0.0025916895428737064,0.028099370833262288,0.0016709577315896264,0.5442207028252826,0.026624494876297977,0.0034527442923152993,0.05821071118007127,0.3169985080002058,0.26835416988218347,0.24401913875598086,0.16432577043782476,0.006302412923805114,7
E14001095,Birmingham Hodge Hill and Solihull North,122294.0,42741.0,0.2593177097813466,0.12873894058580143,0.1385186517735948,0.1877851734345103,0.15923103341128755,0.12640849101345936,0.7838814659754363,0.006639737027164048,0.04349354833434183,0.030254959360230264,0.12453595433954241,0.010695536984643563,0.0004987979786416341,0.4595401246177245,0.03709912178847695,0.34096521497375176,0.07871195643285853,0.04887402489083684,0.034809557296351414,0.2337808886781036,0.32175740428802724,0.0015863411124012626,0.0035242939146646604,0.0004906209625983286,0.37485894647325296,0.004072153989566127,0.002232325379822395,0.057697025201563445,0.2661379003766875,0.27549659577454905,0.1583023326548279,0.2852062422498304,0.014856928944105192,7
E14001096,Birmingham Ladywood,151865.0,53331.0,0.23019635731500138,0.21162077094280485,0.19239329408820935,0.18957502008349467,0.11202639168740863,0.06418816588308114,0.5648824300210052,0.0055640790955243736,0.09304193801154959,0.09969907879921247,0.20488980489507266,0.03082302277650839,0.001099646401127302,0.1557962664208343,0.06747440160669015,0.40786224607381555,0.23705923023738187,0.04929378066045501,0.0825140750008231,0.1624337404932012,0.2227504691666941,0.005300760543904126,0.017950153096500183,0.000928456194646561,0.489382016922925,0.02352747506008626,0.005794620221907615,0.07193230830013499,0.13978736569724926,0.1289493915358797,0.36382216721981586,0.35560930790722095,0.011831767639834243,999
E14001097,Birmingham Northfield,107788.0,45483.0,0.21995955022822578,0.1014305859650425,0.1374642817382269,0.19112517163320591,0.18410212639625934,0.1659182840390396,0.8666920250862805,0.009611459531673285,0.0317567818310016,0.03189594388985787,0.04577503989312354,0.01319256317957472,0.0010761865884885145,0.7341819126433369,0.04414220506920993,0.06371766801499239,0.07595465172375404,0.05880988607266115,0.02319367647604557,0.399024010093888,0.4677978995806583,0.00340483170668349,0.007728133001818384,0.0007885850001855495,0.05263109065944261,0.005176828589453371,0.005612869707203028,0.057835751660667234,0.27317898995228984,0.2713981047864037,0.14847305586702725,0.286546621814744,0.02040322757953521,7
E14001098,Birmingham Perry Barr,121861.0,39446.0,0.23984310250034876,0.1394352674724896,0.1468780515825148,0.20576384956877805,0.1589736015033275,0.1091061273725413,0.6197337972460653,0.004529713938717566,0.06340778913853375,0.05781950074674632,0.21923979583463263,0.03474421887052568,0.0005251842247788482,0.16417885952027308,0.046093499971278755,0.5299152312881069,0.17156432328636725,0.03785460483665816,0.05039348109731579,0.1096522181555581,0.2559372384250521,0.005153539365490982,0.033366705509691605,0.00045134500812421015,0.4289008518111244,0.09503684616520869,0.013047973871227166,0.05845328168852271,0.2799776910206358,0.24116513714952087,0.23987223039091415,0.23046696749987325,0.008517973939055925,7
E14001099,Birmingham Selly Oak,107994.0,41370.0,0.1798248050817638,0.21251180621145618,0.13041465266588884,0.17651906587403005,0.16023112395133063,0.14049854621553048,0.8235288670771795,0.012083892772813557,0.04016852632066299,0.027964257604518726,0.0795407194777536,0.015398861058382332,0.0013148756886892912,0.6271366927792285,0.06155897549863881,0.1639257736540919,0.06167935255662352,0.055762357167990814,0.029936848343426487,0.36817201114887077,0.38890483642458307,0.004453992388395544,0.01809376533664219,0.004722528312020223,0.1290083616530701,0.015306547646606725,0.005704073412165603,0.06563388367764578,0.27800338409475467,0.2684795745709451,0.22690355329949238,0.2104906937394247,0.016122794295383127,4
